LINE1,LINE2,MIDDLELINE
"[(439, 352), (600, 559)]","[(468, 389), (600, 577)]","[(nan, nan), (nan, nan)]"
"[(196, 598), (299, 365)]","[(418, 327), (600, 577)]","[(nan, nan), (nan, nan)]"
"[(196, 598), (299, 365)]","[(449, 365), (600, 559)]","[(nan, nan), (nan, nan)]"
"[(31, 435), (201, 332)]","[(195, 599), (293, 379)]","[(nan, nan), (nan, nan)]"
"[(195, 597), (309, 341)]","[(440, 350), (599, 576)]","[(nan, nan), (nan, nan)]"
"[(0, 459), (256, 300)]","[(19, 443), (235, 309)]","[(nan, nan), (nan, nan)]"
"[(69, 417), (241, 306)]","[(193, 599), (303, 353)]","[(nan, nan), (nan, nan)]"
"[(193, 599), (299, 361)]","[(415, 317), (600, 562)]","[(nan, nan), (nan, nan)]"
"[(46, 424), (231, 312)]","[(411, 317), (600, 577)]","[(nan, nan), (nan, nan)]"
"[(17, 442), (180, 347)]","[(414, 315), (600, 562)]","[(nan, nan), (nan, nan)]"
"[(193, 595), (300, 356)]","[(399, 300), (600, 577)]","[(nan, nan), (nan, nan)]"
"[(27, 434), (221, 317)]","[(220, 532), (293, 374)]","[(192, 597), (301, 354)]"
"[(48, 425), (225, 318)]","[(191, 599), (303, 348)]","[(nan, nan), (nan, nan)]"
"[(398, 300), (512, 452)]","[(412, 317), (600, 575)]","[(nan, nan), (nan, nan)]"
"[(36, 427), (220, 320)]","[(418, 325), (600, 575)]","[(nan, nan), (nan, nan)]"
"[(1, 455), (250, 300)]","[(215, 544), (299, 357)]","[(nan, nan), (nan, nan)]"
"[(54, 423), (252, 300)]","[(221, 531), (299, 358)]","[(190, 595), (278, 406)]"
"[(191, 593), (264, 436)]","[(205, 566), (294, 368)]","[(nan, nan), (nan, nan)]"
"[(190, 595), (283, 394)]","[(460, 375), (600, 560)]","[(420, 324), (542, 497)]"
"[(217, 538), (290, 376)]","[(481, 402), (600, 559)]","[(432, 346), (600, 577)]"
"[(188, 597), (290, 377)]","[(463, 379), (600, 560)]","[(nan, nan), (nan, nan)]"
"[(1, 455), (160, 352)]","[(188, 597), (290, 377)]","[(nan, nan), (nan, nan)]"
"[(188, 597), (289, 379)]","[(397, 300), (514, 456)]","[(nan, nan), (nan, nan)]"
"[(188, 597), (289, 379)]","[(450, 362), (582, 536)]","[(nan, nan), (nan, nan)]"
"[(188, 598), (282, 395)]","[(463, 379), (598, 557)]","[(nan, nan), (nan, nan)]"
"[(188, 597), (280, 399)]","[(464, 381), (600, 561)]","[(408, 311), (600, 576)]"
"[(26, 440), (206, 331)]","[(426, 342), (578, 530)]","[(188, 598), (278, 404)]"
"[(189, 596), (275, 411)]","[(461, 386), (600, 577)]","[(nan, nan), (nan, nan)]"
"[(189, 598), (274, 414)]","[(419, 327), (597, 556)]","[(408, 312), (577, 529)]"
"[(189, 596), (275, 411)]","[(447, 369), (599, 577)]","[(nan, nan), (nan, nan)]"
"[(189, 599), (274, 415)]","[(459, 379), (600, 579)]","[(nan, nan), (nan, nan)]"
"[(189, 596), (275, 411)]","[(419, 334), (560, 522)]","[(408, 313), (588, 544)]"
"[(189, 599), (263, 439)]","[(462, 390), (600, 579)]","[(421, 337), (559, 521)]"
